Source,Target
12113,27928
12113,3674
12711,3674
12974,37661
14052,3674
14466,17260
15306,11581
15920,28078
15920,3674
15920,3698
18390,3674
18390,3674
19387,11844
198,12072
24330,11844
24330,3674
24330,3674
24330,37292
24330,8514
24360,12113
25783,32560
25883,3674
25890,37661
26342,11232
26342,11581
29766,3674
29766,3674
30206,3674
30206,3674
30206,3674
32560,19882
32999,36131
34061,2508
3510,15920
36131,3674
3674,11844
3674,11844
3674,11844
3674,11844
3674,12113
3674,13644
3674,15225
3674,15920
3674,15920
3674,19387
3674,30206
3674,30206
3674,32552
3674,32552
3674,33048
3674,33300
3674,37201
37201,3674
37201,3674
37201,3674
37299,3674
37299,3674
37661,11844
6113,14768
9194,23314
9194,37633
9786,3674
14466,3674
29766,3674
30206,3674
19325,3674
19387,11844
19387,3674
19387,3674
9786,3674
28394,3674
12113,16721
29766,3674
30206,3674
12113,11844
14466,3674
15920,32552
3627,3674
37299,3674
14262,3674
19325,11844
19325,3674
3627,3674
19910,3674
1124,3674
16533,11844
16533,3674
11844,8587
14466,3674
14466,3674
30206,3674
35902,32545
1124,3674
25883,3674
2227,12113
30206,3674
37299,3674
36131,3674
19325,3674
12113,2227
28078,3674
25883,3674
30206,3674
3627,3674
23211,11844
25883,3674
16533,3674
25883,3674
32552,3674
32560,25783
25883,3674
30060,3674
25883,3674
18390,3674
2227,3674
2508,11844
2508,3674
25883,3674
30206,3674
145,3674
2227,3674
2334,3674
3627,3674
30060,11844
30060,3674
34245,11844
35636,31968
37201,31968
9786,3674
14466,3674
24330,11844
24330,3674
12113,2227
15920,9194
19325,3674
12966,24330
14262,3674
30206,3674
37157,24330
37201,3674
30060,3674
30206,3674
3627,3674
12113,11844
12113,3674
12966,11844
14466,3674
14466,3674
19387,11844
25883,3674
25883,3674
30206,3674
35636,3674
37157,11844
37201,3674
37201,3674
14262,3674
25110,3674
2800,12966
30060,11844
30060,3674
22799,11581
30206,3674
37201,3674
32552,3674
37127,3674
30206,3674
30060,3674
37356,11844
37357,11844
28078,3674
25240,11581
25883,3674
30206,3674
37201,3674
30060,11844
30060,3674
30206,3674
32552,3674
37201,3674
5161,3674
11844,12113
30060,11844
30060,3674
15827,11581
30206,3674
37201,3674
19910,3674
28078,3674
29279,3674
32552,19387
19325,3674
30060,3674
6113,3674
1417,3674
15920,24330
10424,3674
12113,3674
15924,3674
19387,32552
25987,3674
14262,3674
14466,3674
25883,3674
32552,3674
1417,3674
14262,3674
30060,3674
30206,3674
5145,3674
15920,9194
24150,11844
24150,3674
30060,3674
37227,11844
37227,3674
12113,3674
30206,3674
26066,33438
16533,3674
32552,3674
25987,3674
30206,3674
14466,3674
25883,3674
25987,3674
37661,3674
14262,3674
30567,3674
2313,3674
30060,3674
32777,3674
30060,3674
15920,3674
28394,3674
12113,11844
14262,3674
14466,3674
30206,3674
3627,3674
37201,3674
12113,11844
14466,3674
25883,3674
25883,3674
30206,3674
37201,3674
16533,3674
30060,3674
19121,3674
30060,3674
12966,16795
26210,3519
37242,3674
8514,3674
12113,11844
12113,3674
25883,3674
30060,11844
30060,3674
30206,3674
30206,3674
37201,3674
30206,3674
37201,3674
12113,3674
12113,3674
15920,19
28078,3674
30206,3674
32552,3674
37201,3674
28078,10198
30206,3674
37201,3674
36131,3674
37299,3674
65,3674
30206,28125
30206,3674
37201,3674
15827,11581
15924,3674
30206,3674
37201,3674
12113,30567
310,11844
32777,3674
22799,11581
30060,3674
4618,24330
8779,11844
12961,12113
14466,3674
25617,3674
25883,3674
3627,23994
3627,3674
14262,3674
14262,3674
2227,3674
29766,3674
5145,3674
30060,11844
30060,3674
30206,3674
30567,3674
37201,3674
37201,3674
30060,3674
30060,3674
30567,3674
4081,11844
4081,3674
29766,3674
30206,3674
33710,32560
37201,3674
30567,3674
32552,3674
26483,3674
30060,3674
3614,3674
12113,3674
19325,3674
29766,3674
30206,3674
35970,37661
37201,3674
19325,3674
12113,3674
29766,3674
9060,12113
12113,3674
30060,3674
30567,11844
29766,3674
30206,3674
37201,3674
24330,3674
36131,3674
24330,3674
29766,3674
30206,3674
37201,3674
29766,3674
30206,3674
3674,34245
37201,3674
37299,11844
37299,3674
15225,3674
25797,32560
19530,12113
198,12113
24604,12113
30060,11844
32777,35096
19530,12113
32777,3674
37299,3674
11999,12113
30060,3674
19667,12113
12961,12113
29419,3674
30567,3674
37299,11844
37661,11844
12113,25883
37661,3674
37661,3674
12113,24364
12966,3674
14466,3674
19325,34082
32777,3674
12113,3674
37661,11844
38142,19497
8112,37299
25987,3674
32560,25783
3674,32552
37661,3674
543,216
15225,3674
24150,11844
24150,3674
30567,3674
37661,3674
25797,32560
14262,11844
14262,3674
5145,11844
5145,3674
37661,11844
37661,11844
30567,11844
32800,32552
37661,3674
15167,3674
28301,3674
30567,11844
37661,11844
4297,11844
37661,11844
30567,3674
369,3674
762,3674
30567,3674
32552,3674
37661,3674
30206,3674
30567,3674
25987,3674
30206,3674
32745,3674
8918,30567
8918,30567
25987,3674
9060,12113
14262,3674
30567,3674
28936,3674
5829,3674
369,11844
22799,11581
30206,3674
14562,32545
30567,3674
37201,3674
30206,3674
25754,37242
12113,11844
24094,32552
12113,11844
19325,3674
4618,11844
25987,3674
9060,12113
37299,3674
3627,3674
26006,3674
3674,11844
25883,3674
37299,3674
8514,11844
8514,3674
3674,11844
12974,3674
24330,3674
24094,32552
