Source,Target
11554,11844
11844,12113
11844,13125
11844,1392
12113,11844
13125,11844
13125,3642
1395,19683
14520,15175
14692,13125
14692,24566
14723,11844
15175,20527
15507,22432
15552,11554
15680,29157
19667,8608
20267,11844
22978,33564
23020,24566
24128,13835
24128,569
24566,23020
24566,25436
24566,28499
24566,33338
24566,3982
25967,9910
26148,29157
26518,1248
26518,29157
26865,15175
28420,29157
28420,29157
28420,29157
29345,23389
29345,23389
29345,24566
29345,24566
29345,24566
29486,29157
29617,11844
29617,19528
29617,2313
29617,3982
29989,28499
30134,16745
30134,16745
30134,16745
30134,20997
33093,29157
33338,24566
33584,29157
35846,10002
37150,19683
3982,28630
7026,1392
7026,9194
8608,12113
8608,19667
8608,19667
9171,16721
11844,5171
13125,14692
369,29345
11844,14692
14692,11844
14692,24566
2313,11844
33338,11844
13125,11844
11554,24566
11844,14692
11844,455
11844,14692
11844,29749
14692,11844
14692,11844
2313,11844
24339,13296
35838,11844
37908,15175
24566,35838
28630,14692
11994,3572
14692,8055
28420,1248
11554,11844
1572,11844
23389,29345
37152,11844
25585,29157
11844,33338
14692,11844
11554,11844
8608,12113
8608,19667
15768,29157
29345,24566
4084,24566
8608,19667
13125,14692
14692,11844
14692,24566
24566,14692
24566,28499
37152,11844
35838,11844
14692,11844
8608,12113
14692,24566
12113,8608
35838,11844
14692,24566
28499,24566
4364,11844
11994,3572
28630,14692
3982,24566
7467,11844
14692,3982
7018,33520
8608,19667
24566,35838
24566,35838
24566,35838
24566,35838
13125,3982
29345,24566
33218,24566
11554,11844
14692,13125
4923,11844
14692,3982
14692,3982
33520,3982
33564,35584
35838,11844
8608,19667
13125,14692
3982,13125
3982,24566
11554,24566
35838,11844
11554,11844
13125,14692
14692,28630
29345,24566
3982,24566
14692,3982
35838,11844
3982,24566
14692,3982
3982,24566
3982,24566
11844,13125
11844,35838
11844,35838
23389,11844
26633,26541
11554,24566
11844,3982
14692,3982
24566,1572
24566,28630
30180,1248
14692,3982
3982,24566
11994,3572
14692,3982
3982,13125
3982,24566
8608,19667
14692,13125
14692,3982
3982,24566
13125,11844
14692,3982
35838,11844
3982,24566
13125,11844
13125,14692
24566,3982
8608,12113
8608,19667
3982,24566
11844,35838
11844,9194
13125,3982
24566,21494
24566,23233
3982,13125
3982,24566
14692,13125
1228,15175
24566,29345
29345,11844
8608,12113
19667,8608
24566,3982
28499,24566
4364,11844
11844,13125
19699,11844
3982,24566
11554,11844
24566,14692
24566,3982
24566,14692
29345,24566
35838,11844
3982,13125
3982,24566
16468,12113
24566,3982
29614,29157
33520,3982
3982,13125
3982,24566
3982,33520
7467,11844
369,29345
12626,29345
13125,3982
33520,3982
3982,11844
3982,24566
10806,29345
11844,19914
4364,11844
11844,1340
11844,24566
11844,5161
23034,8608
24566,8055
26646,3982
29345,24566
35838,11844
13125,3982
35838,29345
8055,33520
13125,3982
24566,8055
3982,24566
3982,8055
29345,24566
14692,3982
24566,3982
8608,19667
29605,8055
35838,8055
23034,8608
29345,24566
8055,29605
11844,13125
11844,2313
11844,29617
11844,3982
24566,8055
26646,8055
29345,24566
29617,24566
5178,11844
8055,24566
24566,29617
24566,3982
